page,summary,sentiment
Page 61," We saw Masson making his way back to the beach to stretch out in the sun . Masson said it was nice and he agreed . Marie wanted us to swim together, but I got tired and headed back, swimming smoothly and breath­ ing easily .",0.1722222222222222
Page 62," Masson drank a lot of wine and kept filling my glass . By the time the coffee carne, my head felt heavy and I smoked a lot . The sun was shining almost directly overhead onto the sand, and the glare on the water was unbearable .",-0.05
Page 63," Meursault and Masson walked along the water's edge along the beach . Two Arabs were walking slowly, but they were already much closer . Raymond said, ""If there's any trouble, Masson, you take the other one"" The Arabs stopped and Raymond struck the first blow and called Masson .",-0.03500000000000001
Page 64," Raymond landed one and landed another, and the other Arab's face was bleeding . Raymond turned to me and said, ""Watch this. I'm gonna let him have it now."" I shouted, ""Look out, he's got a knife!"" But his arm had already been cut open and his mouth slashed .",-0.078125
Page 65," Raymond looked grim when he said he wanted to get some air from the beach . The doctor had told him that it was nothing, but Raymond looked pretty grim . Masson and Masson tried to make him laugh, but he still wouldn't say anything . The one who had attacked Raymond was looking at him without saying anything .",-0.3625
Page 66," Raymond asked me, ""Should I let him have it?"" I thought that if I said no he'd get himself all worked up and shoot for sure . Raymond started getting worked up. ""If he doesn't draw his knife, you can't shoot,"" he said . The sun glinted off Raymond's gun as he handed it to me. But we just stood there motionless, as if every­ thing had closed in .",0.2
Page 67," Raymond's man was lying on his back, with his hands behind his head, his forehead in the shade of the sun . He had come back from the beach to find shade and rest in a cool spring behind the rock .",-0.09000000000000001
Page 68," As soon as he saw me, he sat up a little and put his hand in his pocket . Then he lay back again, but with­ out taking his hand out of his pocket. I was a little sur­ prised. As far as I was concerned, the whole thing was over, and I'd gone there without even thinking about it. I gripped Raymond's gun inside my jacket.",-0.015000000000000003
Page 69," The Arab drew his knife and held it up to me in the sun . The light shot off the steel and it was like a long Hashing blade cutting at my forehead . At the same instant the sweat in my eye­ brows dripped down over my eyelids all at once and covered them with a warm, thick film .",-0.01319444444444444
Page 73," A week later, how­ ever, the examining magistrate looked me over with curiosity . He simply asked my name and address, my occupation, the date and place of my birth . Then he wanted to know if I had hired an attorney . He agreed with him and concluded that it was a good law .",0.2333333333333333
Page 74," The next day a lawyer came to see him at the prison and said he had gone over his file . He wanted me to help him with his case, but he had no doubts we'd win, if I trusted him . The investigators had learned that I had ""shown in­ sensitivity"" the day of Marnan's funeral .",0.4
Page 75," The day I buried Maman, I was very tired and sleepy, so much so that I wasn't really aware of what was going on . I probably did love Maman but that didn't mean anything, she says . Her lawyer told her that ""things could get very nasty"" for her . He left, looking angry .",-0.1728125
Page 76," ""I could tell, I made him feel uncomfortable,"" he says . He didn't under­ stand me, and he was sort of holding it against me . I felt the urge to reassure him that I was like everybody else . But really there wasn't much point and I gave up the idea out of laziness .",-0.033333333333333326
Page 77," ""There are one or two things,"" he added, ""that I don't quite understand"" ""I said it was all pretty simple. I was tired of repeating the same story over and over,"" he said . After each sentence he would say, ""Fine, fine,"" he nodded and said, ""Good"" He stood up and told me that he wanted to help me, that he would do something for me .",0.1976190476190476
Page 78," The magistrate ran his hands across his forehead and repeated his question with a slightly different tone in his voice . ""Why? You must tell me. Why?"" Still I didn't say anything . Suddenly he stood up, strode over to a far corner of his office, and pulled out a silver crucifix . He brandished the silver crucifix as he came toward me .",0.03333333333333333
Page 79," I was about to tell him he was wrong to dwell on it, because it really didn't matter . But he cut me off and urged me one last time, drawing himself up to his full height and asked me if I believed in God . ""Do you want my life to be meaningless?"" he shouted . As far as I could see, it didn't have anything to do with me, and I told him so .",-0.05833333333333333
Page 80," The judge asked, in the same weary tone, if I was sorry for what I had done . I thought about it for a minute and said that more than sorry I felt kind of annoyed . But that was as far as things went that day. After that, I saw a lot of the magistrate, except that my lawyer was with me each time .",-0.028571428571428577
Page 81," The judge would lead me to the door of his office, slap me on the shoulder, and say to me cordially, ""That's all for today, Monsieur Antichrist"" I would then be handed back over to the police .",0.0
Page 82," The day of his arrest I was first put in a room where there were already several other prisoners, most of them Arabs . They laughed when they saw him . They showed me how to fix the mat I was supposed to sleep on. All night I felt bugs crawling over my face. A few days later I was put in my cell by myself, where I slept on wooden boards suspended from the wall .",0.11944444444444444
Page 83," The prison was on the heights above the town, and through a small window I could see the sea . To get to the visiting room I went down a long cor­ ridor, then down some stairs and, finally, another cor­ridge . The room was divided into three sections by two large grates that ran the length of the room .",-0.05668934240362812
Page 84," Most of the Arab prisoners and their families had squatted down facing each other . Despite the commotion, they were managing to make themselves heard by talking in very low voices . The fat woman yelled to the man next to me, her husband probably, a tall blond guy . ""Jeanne wouldn't take him,"" she shouted as loudly as she could .",0.053240740740740734
Page 85," Marie shouted to me that I had to have hope and I said, ""Yes"" She shouted again, ""You'll get out and we'll get married!"" She said yes, that I would be acquitted and that we would go swimming again . The murmuring of the Arabs continued below us .",0.3125
Page 86," When I was first imprisoned, the hardest thing was that my thoughts were still those of a free man . But that only lasted a few months. I would suddenly have the urge to be on a beach and to walk down to the water .",0.049074074074074076
Page 87," Afterwards my only thoughts were those of a prisoner . I waited for the daily walk, which I took in the courtyard, or for a visit from my lawyer . The rest of the time I managed pretty well. I often thought that if I had had to live in the trunk of a dead tree, little by little I would have gotten used to it .",-0.02694805194805195
Page 88," When I entered prison, they took away my belt, my shoelaces, my tie, and everything I had in my pockets, my cigarettes in par­ ticular . Apart from these annoyances, the main problem was killing time . Once he learned how to remember things, he wasn't bored at all .",-0.16666666666666669
Page 89," A man who had lived only one day could easily live for a hundred years in prison . He would have enough memories to keep him from being bored . The more I thought about it, the more I dug out of my memory things I had overlooked or forgotten .",0.10606060606060606
Page 90," In order to surprise them, he'd gone to see his mother, who didn't recognize him when he walked in . During the night his mother and his sister had beaten him to death with a hammer in order to rob him and had thrown his body in the river . The next morning the wife had come to the hotel and, without knowing it, gave away the traveler's identity .",0.0
Page 91," The nurse at Maman's funeral said there was no way out, and no one can imagine what nights in prison are like . 81 do. 0 T H E S T R A N G E R 0 do.",0.0
Page 92," My case was set down for the last session of the Court of Assizes, and that session was due to end some time in June . My lawyer had assured me that it wouldn't last more than two or three days . But the trial opened with the sun glaring out­ side .",0.04388888888888889
Page 93," A small bell rang in the room and led him into the dock . The room was packed, despite the blinds, the sun filtered through in places and the air was already stifling . A row of faces in front of him were all looking at him: I realized they were the jury .",-0.25
Page 94," A reporter pointed to a group of men at a table just below the jury box and said, ""That's them"" He knew one of the reporters, who just then spotted him and was making his way toward us . Everyone was waving and exchanging greetings and talking, as if they were in a club . Yet the reporter turned and spoke to me with a smile .",0.3
Page 95," Three judges, two in black, the third in red, entered with files in hand and walked briskly to the rostrum which dominated the room . They all had the same indifferent and somewhat snide look on their faces . One of them, however, had left his pen lying in front of him and was looking at me closely .",-0.03333333333333333
Page 96," The presiding judge said he was going to proceed with the calling of witnesses . The bailiff read off some names that caught my attention . In the middle of what until then had been a shapeless mass of spectators, I saw them stand up one by one, only to disappear again through a side door . I was still feeling surprised that I hadn't seen them before .",-0.025
Page 97," The presiding judge questioned me calmly and even, it seemed to me, with a hint of cordiality . The reporters were writing the whole time because the judge went into minute detail in his narrative . Everyone on the row of streetcar seats was turned directly toward the judge, who coughed .",0.19999999999999998
Page 98," The judge said he didn't want to dwell on this point, and asked the prosecutor if he had any further questions . The prosecutor had his back half-turned to me, and without looking at me he stated that, with the court's permission, he would like to know whether I had gone back to the spring by myself intending to kill the Arab. ""No,"" I said. Well, then, why was I armed and why did I return to precisely that spot? I said it just happened that way. And the prosecutor noted in a nasty voice, ""That will be all for",-0.12
Page 99, The director of the home was asked whether Marnan ever complained about me . He said some of it was just a way the residents all had of complaining about their relatives . The judge had him clarify whether she used to reproach me for having put her in the horne .,-0.3
Page 100," After asking the jury and my lawyer if they had any questions, the judge called the caretaker . He said I hadn't wanted to see Maman, that I had smoked and slept some, and had some coffee . The caretaker looked embarrassed and said, ""I couldn't refuse the cigarette when monsieur offered it to me""",0.0
Page 101," Thomas Perez said it was really my mother he had known and that he had seen me only once, on the day of the funeral . He was asked how I had acted that day and he replied, ""You understand, I was too sad. So I didn't see anything. My sadness made it impossible to see anything""",-0.24166666666666664
Page 102," ""The defense"" meant ""the defense"" ""The way I see it, it's bad luck. Everybody knows what bad luck is. It leaves you defenseless,"" he says .",-0.6
Page 103," Celeste went and sat among the spectators during the trial, leaning forward, his elbows on his knees, the panama hat in his hands, listening to everything that was said . The judge wanted to know what her relation to me was. She said she was my friend. She was supposed to marry me. The prosecutor asked her bluntly when our ""liaison"" had begun .",0.0
Page 104," At the prosecutor's insistence, she went over our swim, the movies, and going back to my place . The prosecutor said that after Marie had given her statements to the examining magistrate, he had consulted the movie list­ ings for that day . In an almost expression­ less voice she did in fact tell the court that it was a Fernandel film . By the time she had finished there was complete silence in the courtroom .",-0.022222222222222216
Page 105," Raymond, who was the last witness, blurted out that I was innocent . Salamano kept saying, ""you must under­ stand,"" but no one seemed to understand . Raymond took this opportunity to say that he was the one the victim hated ever since he had hit the guy's sister .",-0.11875000000000001
Page 106," Raymond wanted to defend himself and my lawyer objected, but they were instructed that they must let the prosecutor finish . ""I have little to add,"" the prose­ cutor said. ""Was he your friend?"" he asked Raymond . The prosecutor then turned to the jury and declared, ""The same man who the day after his mother died was in­ dulging in the most shameful debauchery killed a man""",0.028124999999999997
Page 107," The trial was adjourned. As I was leaving the court­ house on my way back to the van, I recognized for a brief moment the smell and color of the summer eve­ ning. The cries of the newspaper vendors in the already languid air, the last few birds in the square, the shouts of the sandwich sellers, the screech of the streetcars turning sharply through the upper town .",-0.05416666666666667
Page 108," Even in the prisoner's dock, there was a lot said about me, maybe more about me than about my crime . My lawyer kept telling me, ""Just keep quiet-it won't do your case any good""",0.6
Page 109," The prosecutor tried to show that my crime was premeditated . He reminded the court of my insensi­ tivity, of my ignorance when asked Marnan1s age; of my swim the next day-with a woman; of the Fernandel movie; and finally of my taking Marie horne with me .",0.0
Page 110," ""Not once during the pre­ liminary hearings did this man show emotion over his heinous offense,"" prosecutor said . ""Has he so much as expressed any re­ morse? Never, gentlemen,"" he said . Of course, I couldn't help admit that he was right. I didn't feel much remorse for what I'd done .",0.22857142857142856
Page 111," The prosecutor said he had peered into my soul and that he had found nothing, gentlemen of the jury . He said the truth was that I didn't have a soul . ""Of course,"" he added, ""we cannot blame him for this. But here in this court the wholly negative virtue of tolerance must give way to the sterner but loftier virtue of justice""",-0.3
Page 112," ""I ask you for this man's head,"" he said, ""and I do so with a heart at ease"" The prosecutor wiped his face, which was glistening with sweat . He concluded by saying that his duty was a painful one but that he would carry it out resolutely . When the prosecutor returned to his seat, there was a rather long silence .",-0.375
Page 113," The judge said he would be happy to have me state the motives for my act . I blurted out that it was because of the sun, but people laughed . My lawyer threw up his hands, and immediately after that he was given the floor . At one point, he was saying, ""It is true I killed a man.""",0.41250000000000003
Page 114," ""I had hoped that a horne for the aged would give the old woman the comfort that with my limited means I could not provide for her,"" he says . ""Gentlemen,"" he added, ""I am amazed that so much has been made of this horne""",0.03214285714285715
Page 115," The utter pointlessness of whatever I was doing seized me by the throat, and all I wanted was to get it over with . I barely even heard when my lawyer, wrapping up, exclaimed that the jury surely would not send an honest, hard­ working man to his death because he had lost control of himself for one moment . Meanwhile, the sun was getting low outside and it wasn't as hot anymore .",0.19999999999999998
Page 116," ""Guilty of murder"" was read to the jury . ""Extenuating cir­ cumstances"" was ""extenuating circumstances,"" jury said . ""I heard a muffled voice reading something in the courtroom,"" jury member says .",-0.5
Page 117," The presiding judge told me in bizarre language that I was to have my head cut off in a public square in the name of the French people . Then it seemed to me that I suddenly knew what was on everybody's face. It was a look of consideration, I'm sure .",0.18
Page 118," All I care about right now is escaping the machinery of justice, seeing if there's any way out of the inevitable . From this one, when I'm stretched out on my bunk, I see the sky and that's all I see . I blame myself every time for not having paid enough attention to accounts of escapes .",0.05892857142857143
Page 119," In spite of all the unrelenting calculation, chance and luck had, at least once, changed something . The papers were always talking about the debt owed to society . But that doesn't speak to the imagination . What really counted was the possibility of escape, a leap to freedom, a wild run for it .",9.25185853854297e-18
Page 120," At times like this I remembered a story Maman used to tell me about my father . He'd gone to watch a murderer be executed, and when he came back he spent half the morning throwing up . How had I not seen that there was nothing more important than an execution?",0.12666666666666665
Page 121," The trouble with the guillotine was that you had no chance at all, absolutely none . The fact was that it had been decided once and for all that the patient was to die . The condemned man was forced into a kind of moral laboration .",0.059999999999999984
Page 122," In reality, the machine was set up right on the ground, as simple as you please . It was much narrower than I'd thought. I'd never noticed that before. Mounting the scaffold, going right up into the sky was something the imagination could hold on to .",0.19285714285714284
Page 123," All day long there was the thought of my appeal. I've never liked being surprised. If something is going to happen to me, I want to be there. That's why I ended up sleeping only a little bit during the day and then, all night long, waited patiently for the first light to show on the pane of sky. After midnight, I would wait and watch .",0.020312500000000004
Page 124," I would always begin by assuming the worst: ""Well, so I'm going to die."" But everybody knows life isn't worth living, he says . Whether it was now or twenty years from now, I would still be the one dying, he writes .",-0.35
Page 125," For the first time in a long time I thought about Marie. The days had been long since she'd stopped writing. Maybe she had gotten tired of being the girlfriend of a condemned man. It also occurred to me that maybe she was sick, or dead. These things happen. How was I to know, since apart from our two bodies, there wasn't anything to keep us together or even to remind us of each other?",-0.18418367346938777
Page 126," He sat down on my bunk and invited me to sit next to him, but I refused . He wanted to know if I was sure and I said that I didn't see any reason to ask myself that question : it seemed unimportant . He asked me if I wasn't talking that way out of extreme despair . ""Then God can help you,"" he said. ""Every man I have known in your position has I I 6""",-0.036111111111111115
Page 127," The way he saw it, we were all condemned to die, says the chaplain . ""If you don't die today, you'll die to­ morrow, or the next day,"" he said . ""How will you face that terrifying ordeal?"" he asked .",-0.5
Page 128," The priest was expressing his certainty that my appeal would be granted, but I was carrying the burden of a sin from which I had to free myself . According to him, human justice was nothing and divine justice was everything . I pointed out that it was the former that had condemned me . He took a step toward me and stopped, as if he didn't dare come any closer .",0.13333333333333333
Page 129," The chaplain looked at me with a kind of sadness . He muttered a few words I didn't catch and abruptly asked if he could embrace me . ""Do you really love this earth as much as all that?"" he murmured . He turned and walked over to the wall and slowly ran his hand over it .",0.11249999999999998
Page 130," He wanted to talk to me about God again, but I went up to him and made one last attempt to explain to him that I had only a little time left and I didn't want to waste it on God . But he stopped me and wanted to know how I pictured this other life . Then I shouted at him, ""One where I could remember this life!"" and that's when I told him I'd had enough . He tried to change the subject by asking me why I was calling him ""monsieur"" and not ""father""",-0.08880208333333332
Page 131," It was as if I had waited all this time for this moment and for the first light of this dawn to be vindicated . Nothing, nothing mattered, and I knew why. So did he . Everybody was privileged. There were only privileged people. The others would all be condemned one day. And he would be condemned .",0.21666666666666667
Page 132," For the first time in a long time I thought about Maman. I felt as if I understood why at the end of her life she had taken a ""fiance,"" why she had played at beginning again. Even there, in that home where lives were fading out, evening was a kind of wist­ ful respite .",0.26666666666666666
Page 133," For everything to be consummated, for me to feel less alone, I had only to wish that there be a large crowd of spectators the day of my execution and that they greet me with cries of hate .",-0.1880952380952381
Page 135," Albert Camus, son of a working-class family, was born in Algeria in 191 3 . During World War II he was one of the leading writers of the French Resistance . His fiction, The Plague, The Fall and Exile and the Kingdom have assured his preeminent position in modern French letters .",0.06666666666666667
Page 137," Matthew Ward is a poet, critic, and translator . His translations include works by Colette, Barthes, Picasso, Sartre, and others . He taught for several years at the Fieldston School in Riverdale, New York .",0.06818181818181818
